node_id,stoptype,ST_NAME,X,Y,SEG_ID
4049,Conventional,HENRY AVE,-8375608.69817401,4875035.13803007,700539
4246,Signalized,HENRY AVE,-8375257.93602919,4874824.4789665,700322
4471,Signalized,HENRY AVE,-8375476.37343691,4874633.21501376,700537
11321,Conventional,ROOSEVELT BLVD,-8366072.46424972,4868937.69409982,621455
12065,Signalized,ROOSEVELT BLVD,-8368828.69298531,4868068.24349991,621435
14405,All Way,MARTIN LUTHER KING DR,-8370768.11304756,4865387.85721065,521474
21298,All Way,MARKET ST,-8364602.01822325,4858639.96336823,441096
26871,Conventional,HENRY AVE,-8375511.63147019,4874788.53171012,700316
12458,Conventional,CITY AVE,-8371274.58465757,4867607.53946567,621885
29733,Signalized,CITY AVE,-8371765.77371183,4868035.07660491,621399
