objectid,street_name,buffer
1,ROOSEVELT BLVD,150 feet
2,WOODHAVEN RD,150 feet
3,WOODHAVEN RD,150 feet
4,10TH ST,50 feet
5,11TH ST,50 feet
6,11TH ST,50 feet
7,12TH ST,50 feet
8,13TH ST,50 feet
9,15TH ST,50 feet
10,16TH ST,50 feet
11,17TH ST,50 feet
12,18TH ST,50 feet
13,21ST ST,50 feet
14,21ST ST,50 feet
43,70TH ST,50 feet
15,22ND ST,50 feet
16,25TH ST,50 feet
17,29TH ST,50 feet
18,2ND ST,50 feet
19,2ND ST,50 feet
20,2ND ST,50 feet
21,39TH ST,50 feet
22,3RD ST,50 feet
23,40TH ST,50 feet
24,42ND ST,50 feet
103,KENSINGTON AVE,50 feet
104,KINGSESSING AVE,50 feet
105,L ST,50 feet
106,LANSDOWNE AVE,50 feet
107,LIMEKILN PIKE,50 feet
108,LONGSHORE AVE,50 feet
109,LUZERNE ST,50 feet
110,LYCOMING ST,50 feet
111,M ST,50 feet
112,MAIN ST,50 feet
113,MARKET ST,50 feet
114,MASCHER ST,50 feet
115,NORRIS ST,50 feet
116,NORWITCH DR,50 feet
117,OGDEN ST,50 feet
118,OLD BUSTLETON AVE,50 feet
119,OLD YORK RD,50 feet
120,OLNEY AVE,50 feet
121,OXFORD ST,50 feet
122,PACKER AVE,50 feet
123,PARKSIDE AVE,50 feet
124,PARRISH ST,50 feet
125,PASCHALL AVE,50 feet
126,PASSYUNK AVE,50 feet
127,PASSYUNK AVE,50 feet
128,PENN ST,50 feet
25,42ND ST,50 feet
44,70TH ST,50 feet
26,47TH ST,50 feet
27,52ND ST,50 feet
28,54TH ST,50 feet
29,54TH ST,50 feet
30,54TH ST,50 feet
31,56TH ST,50 feet
32,57TH ST,50 feet
33,57TH ST,50 feet
34,58TH ST,50 feet
35,58TH ST,50 feet
36,59TH ST,50 feet
37,59TH ST,50 feet
38,5TH ST,50 feet
39,61ST ST,50 feet
40,63RD ST,50 feet
41,65TH ST,50 feet
42,66TH AVE,50 feet
45,7TH ST,50 feet
46,8TH ST,50 feet
47,9TH ST,50 feet
48,ALLEGHENY AVE,50 feet
49,ALLEGHENY AVE,50 feet
50,AMERICAN ST,50 feet
